"Facebook","com.facebook.katana","//lh3.googleusercontent.com/ZZPdzvlpK9r_Df9C3M7j1rNRi7hhHRvPhlklJ3lfi5jk86Jd1s0Y5wcQ1QgbVaAP5Q=w300","Social","17 December 2015",4.0,"35,385,143",20135757,5521820,3290060,1738674,4693237,"https://www.facebook.com/facebook&sa=D&usg=AFQjCNGRHFFrpM0oatFPPR2o-FZgqzAIvg","android-support@fb.com","1,000,000,000 - 5,000,000,000",0
"Twitter","com.twitter.android","//lh3.ggpht.com/lSLM0xhCA1RZOwaQcjhlwmsvaIQYaP3c5qbDKCgLALhydrgExnaSKZdGa8S3YtRuVA=w300","Social","January 4, 2016",4.2,"6,698,118",4061800,1231258,562872,261169,579741,"https://support.twitter.com/articles/20169915&sa=D&usg=AFQjCNGiLHxAOkToaFzXEuy4yKQtWEyaqA","google-play-emails@twitter.com","100,000,000 - 500,000,000",0
"LinkedIn","com.linkedin.android","//lh3.googleusercontent.com/00APBMVQh3yraN704gKCeM63KzeQ-zHUi5wK6E9TjRQ26McyqYBt-zy__4i8GXDAfeys=w300","Social","December 18, 2015",4.2,"816,959",422367,246445,85122,26136,36888,"http://www.linkedin.com/&sa=D&usg=AFQjCNFUXFB3VQmt1nCaxxIwPweN-hlnjw","team-mobile@linkedin.com","50,000,000 - 100,000,000",0
"Candy Crush Saga","com.king.candycrushsaga","//lh5.ggpht.com/81M05pEyFiOqKt8CashUoz66iJAhL-3PHHbAil108QkU9sKeVZBuZaNJiV7b0gZ2GFU=w300","Casual","14 December 2015",4.3,"13,743,868",8993600,2450396,1010559,437684,851596,"http://about.king.com/candy-crush-saga-faqs&sa=D&usg=AFQjCNFoeSkb8lNE6AwhZM0_zL1hKsxf0Q","candycrush.techhelp@king.com","100,000,000 - 500,000,000",0
"Temple Run 2","com.imangi.templerun2","//lh3.googleusercontent.com/C_W13cNqYPW_2nGaT424dOcnRavlrvizVhAk8KbNnAyYsV6SJ4OfQW0Vx-kLD9vsjLo=w300","Action","15 December 2015",4.3,"5,781,910",3804555,900373,448240,229719,398985,"http://www.imangistudios.com/contact.html&sa=D&usg=AFQjCNHmJGmIKtvMBmjP32ju-nrNezjqDg","support-android@imangistudios.com","100,000,000 - 500,000,000",0
"Clash of Clans","com.supercell.clashofclans","//lh6.ggpht.com/1eVPA6Iukw-F4i5xq1ZWicaKBzmprLGw98YhdG20E-wlsHHg3PcKJqbY_fWLdJeGRw=w300","Strategy","December 18, 2015",4.6,"21,457,986",16853168,2380936,838190,394158,991533,"http://supercell.helpshift.com/a/clash-of-clans/&sa=D&usg=AFQjCNFcI_matDwefmbD0Azk46RfAf9Hag","gp-info@supercell.com","100,000,000 - 500,000,000",0
"Chrome Browser - Google","com.android.chrome","//lh3.ggpht.com/O0aW5qsyCkR2i7Bu-jUU1b5BWA_NygJ6ui4MgaAvL7gfqvVWqkOBscDaq4pn-vkwByUx=w300","Communication","9 December 2015",4.2,"3,836,544",2426697,658912,291392,144875,314668,"http://www.google.com/chrome/android&sa=D&usg=AFQjCNH_BzcE3IMaezxMxXw55U0XzGe9bA","apps-help@google.com","1,000,000,000 - 5,000,000,000",0
"WeChat","com.tencent.mm","//lh3.ggpht.com/zC5Q4atR1JytzagSPIPAg-z4uItJGsTVjZHvf9nSeGdwrwnuPPW_OqMk6FAI3DJvzQ=w300","Communication","10 December 2015",4.2,"4,245,451",2672862,728963,366397,160154,317032,"http://www.wechat.com&sa=D&usg=AFQjCNESiALOmnwZv6N7VJ7EZM4l8PwI7A","support@wechat.com","100,000,000 - 500,000,000",0
"Viber","com.viber.voip","//lh5.ggpht.com/jWKeAZUzPtUqgZdcLDSa7vd3iwdan8QX4nlYlHBMkJHcxwr-uZU40vDmrMKczCmiCBRf=w300","Communication","22 December 2015",4.3,"8,066,317",5263011,1381064,626607,285339,510253,"http://www.viber.com/&sa=D&usg=AFQjCNHpeZ0-ihb0K4SEkbnG_2zLJvn6Mg","support@viber.com","100,000,000 - 500,000,000",0
"Hangouts","com.google.android.talk","//lh6.ggpht.com/5puZavg4x2pThSTJgos1sARWoARea7tzr_B8AWEwn2lV05RoXo9M8BM2XwcvwG6nIGc=w300","Communication","11 December 2015",3.9,"1,510,573",780112,268879,167464,80177,213941,"https://support.google.com/hangouts/?p%3Dandroidhelp&sa=D&usg=AFQjCNEoBvWyfqjczPl5px3LYnv6ZUpVgw","apps-help@google.com","1,000,000,000 - 5,000,000,000",0
"Messenger","com.facebook.orca","//lh5.ggpht.com/0VYAvZLR9YhosF-thqm8xl8EWsCfrEY_uk2og2f59K8IOx5TfPsXjFVwxaHVnUbuEjc=w300","Communication","16 December 2015",3.9,"22,222,474",12091134,3548190,2162105,1085533,3335425,"http://www.facebook.com/apps/application.php?id%3D256002347743983&sa=D&usg=AFQjCNFWPjchjyv4a5zZErJcQy-hDTEIgA","android-support@fb.com","1,000,000,000 - 5,000,000,000",0
"WhatsApp Messenger","com.whatsapp","//lh6.ggpht.com/mp86vbELnqLi2FzvhiKdPX31_oiTRLNyeK8x4IIrbF5eD1D5RdnVwjQP0hwMNR_JdA=w300","Communication","24 November 2015",4.4,"32,897,166",23257503,4958334,2034464,920249,1725786,"http://www.whatsapp.com/&sa=D&usg=AFQjCNG7hnGBZcdhY01DCoWxe7f3gSXlJQ","android-support@whatsapp.com","1,000,000,000 - 5,000,000,000",0
"Slack","com.Slack","//lh3.googleusercontent.com/CzlsZP3xUHeX3HAGdZ2rL9mK6_C-6T1-YWeBeM8nB3ilmfPSBHCFx4-UbQr8MnQms3d9=w300","Business","18 December 2015",4.4,"25,746",15899,6738,1838,612,659,"http://slack.com&sa=D&usg=AFQjCNGpNtDpdl2R0WYn82Ens7kP8Q3-Rw","feedback@slack.com","1,000,000 - 5,000,000",0
"Dropbox","com.dropbox.android","//lh6.ggpht.com/fR_IJDfD1becp10IEaG2ly07WO4WW0LdZGUaNSrscqpgr9PI53D3Cp0yd2dXOgyux8w=w300","Productivity","16 December 2015",4.4,"1,309,008",886564,241513,85598,31562,63671,"http://www.dropbox.com&sa=D&usg=AFQjCNHkUkIvFbMV_t27v7cTn2Rd8cyuVw","android-feedback@dropbox.com","500,000,000 - 1,000,000,000",0
"TodoToday for Todo.ly","jabanaki.todo.todoly","https://lh4.ggpht.com/TTw3h7QQLXeA15uH2NEV4_Gb1tv_OOQ28Rxv0IfTgadMCk_Qwf9boUys5xFeJbjOem4=w300","Productivity","December 17, 2015",2.9,"69",15,14,11,5,24,"http://jabanaki.com&sa=D&usg=AFQjCNEXPbm38QbhbgChHpanbln5fDRAZQ","support@jabanaki.com","10,000 - 50,000",0
"Evernote","com.evernote","//lh5.ggpht.com/u_ZwBnOs3s7nHA2v4XDCrJknAAVVHQIzK4mVF8tbx1n62-_LrDSopwHviqeNuDIFigc=w300","Productivity","15 December 2015",4.6,"1,363,516",990863,275011,49844,16442,31141,"http://www.evernote.com&sa=D&usg=AFQjCNHjz04lGDlIindmH3Ax1DOtqvT2mA","appstore-evernote-android@evernote.com","100,000,000 - 500,000,000",0
"UC Browser Mini - Save Data","com.uc.browser.en","//lh4.ggpht.com/Rs7TpwyWLFozmLLBEGMNG6vpAMLBNoQrbOeoOCv7VEn94uP_xBKPgMfROdIw6io15ik=w300","Communication","December 21, 2015",4.5,"1,567,873",1108020,258652,96535,41504,63149,"http://ucweb.com&sa=D&usg=AFQjCNEWbRb57g9VZMwAIAxWp7ElDGPpBA","help@idc.ucweb.com","50,000,000 - 100,000,000",0
"Hamro Nepali Keyboard","com.hamrokeyboard","//lh3.ggpht.com/gT4dR0TcbuJIhM5bSo1kEIcSoVOk1ZQQ7g8PLkxY-0gcrRyNz0_FBysDCEoPDq6-cT7q=w300","Tools","8 February 2015",4.3,"15,609",10119,2482,1243,717,1048,"http://www.hamropatro.com&sa=D&usg=AFQjCNEpTl0yEtZJTHzzRJhw0A7Ife9GkQ","support@hamropatro.com","1,000,000 - 5,000,000",0
"Opera Mini web browser","com.opera.mini.native","//lh3.googleusercontent.com/CrsX4NgCfgY1B8ry-cP0qdEgR7cB7717qmVajenGgWuh5t7jCg6cRQxLi1c73hj3iQ=w300","Communication","8 December 2015",4.3,"950,422",589764,194835,82356,31805,51660,"http://www.opera.com&sa=D&usg=AFQjCNEWjrTRxO2WL8FzyZeelg0ba0vy3A","support-mini-android@opera.com","50,000,000 - 100,000,000",0
"ekantipur","com.shirantech.kantipur","//lh3.googleusercontent.com/SNGk4nmcGy53vPes2fHR0WpbymjmcF22qPFFJEugKFxzRtzy62LNecri-ST_PUA_pQ=w300","News & Magazines","3 November 2015",4.0,"10,453",5567,1938,1090,640,1218,"http://www.ekantipur.com&sa=D&usg=AFQjCNHB7aqR4wWh2D9WhABqoI6OMp1URw","kmgapp@kantipur.com.np","100,000 - 500,000",0
"Firefox for Android","org.mozilla.firefox","//lh5.ggpht.com/8PODwBXKk4L201m4IO1wifRDfbn4Q1JxNxOzj-5TXPJ85_S-vOqntLi7TsVyeFQM0w4=w300","Communication","15 December 2015",4.4,"2,162,958",1442170,373120,150667,71896,124958,"http://support.mozilla.org/mobile&sa=D&usg=AFQjCNFPOUsp0ro9bXBxSm9kazIxys7Rng","ffandroidhelp@mozilla.com","100,000,000 - 500,000,000",0
"Hamro Patro","com.hamropatro","//lh3.ggpht.com/n0nOd91BjlEjD2DBAFucckiRdg7GX-mLoYXM8cbIstih934Pldnu9E5-sEEkLFozX8U=w300","Productivity","23 December 2015",4.5,"27,623",20123,4112,1579,727,1082,"http://www.hamropatro.com&sa=D&usg=AFQjCNEpTl0yEtZJTHzzRJhw0A7Ife9GkQ","support@hamropatro.com","1,000,000 - 5,000,000",0
